dull 9,,shiny 9,,dull 5,,shiny 5,,shiny 4,,dull 4,,dull 3,,shiny 3,
dx9,dy9,sx9,sy9,dx5,dy5,sx5,sy5,sx4,sy4,dx4,dy4,dx3,dy3,sx3,sy3
184,0,180,0,331,0,318,0,404,0,414,0,552,0,550,0
185,100,181,100,332,100,319,100,405,100,415,100,553,100,551,100
222,100,213,100,399,100,385,100,481,100,500,100,640,100,668,100
223,0,214,0,400,0,386,0,482,0,501,0,641,0,669,0
